client_id,date,kind,value,,,,,,,,,,
be0146,6/13/2024,D,"34,349.00",,,,,,,,,,
ba0130,6/11/2024,C,"427,036.00",,,,,,,,,,
fa0166,6/4/2024,D,"106,788.00",,,,,,,,,,
eb0077,6/11/2024,D,"211,992.00",,,,,,,,,,
aa0009,6/13/2024,C,"201,668.00",,,,,,,,,,
ga0103,6/30/2024,D,"324,139.00",,,,,,,,,,
aa0121,6/3/2024,D,"6,050.00",,,,,,,,,,
bg0106,6/29/2024,C,"180,266.00",,,,,,,,,,
gd0127,6/26/2024,C,"157,527.00",,,,,,,,,,
bc0114,6/29/2024,D,"57,978.00",,,,,,,,,,
fh0134,6/27/2024,C,"20,609.00",,,,,,,,,,
cc0123,6/28/2024,C,"30,701.00",,,,,,,,,,
gh0143,6/19/2024,D,"73,727.00",,,,,,,,,,
bb0122,6/30/2024,C,"413,410.00",,,,,,,,,,
he0056,6/8/2024,D,"16,627.00",,,,,,,,,,
de0164,6/11/2024,D,"316,326.00",,,,,,,,,,
ee0029,6/2/2024,D,"192,220.00",,,,,,,,,,
fc0078,6/19/2024,D,"177,667.00",,,,,,,,,,
ge0119,6/3/2024,D,"42,926.00",,,,,,,,,,
hd0136,6/2/2024,D,"154,257.00",,,,,,,,,,
gb0095,6/7/2024,D,"6,449.00",,,,,,,,,,
dd0028,6/11/2024,C,"142,999.00",,,,,,,,,,
ch0035,6/23/2024,C,"18,051.00",,,,,,,,,,
gb0167,6/20/2024,C,"378,206.00",,,,,,,,,,
db0140,6/3/2024,D,"74,865.00",,,,,,,,,,
fc0006,6/5/2024,D,"126,856.00",,,,,,,,,,
ge0047,6/15/2024,C,"88,412.00",,,,,,,,,,
ad0001,6/7/2024,D,"251,285.00",,,,,,,,,,
ac0033,6/22/2024,C,"129,565.00",,,,,,,,,,
aa0153,6/11/2024,D,"406,144.00",,,,,,,,,,
ef0165,6/27/2024,D,"307,118.00",,,,,,,,,,
cb0131,6/4/2024,D,"267,714.00",,,,,,,,,,
af0057,6/21/2024,C,"108,767.00",,,,,,,,,,
hc0168,6/18/2024,C,"286,105.00",,,,,,,,,,
ah0161,6/12/2024,C,"320,483.00",,,,,,,,,,
be0002,6/21/2024,C,"35,483.00",,,,,,,,,,
eb0149,6/15/2024,C,"16,817.00",,,,,,,,,,
dh0188,6/23/2024,D,"438,557.00",,,,,,,,,,
ea0117,6/14/2024,C,"111,430.00",,,,,,,,,,
ad0073,6/28/2024,C,"75,624.00",,,,,,,,,,
fb0158,6/8/2024,C,"4,674.00",,,,,,,,,,
eh0125,6/28/2024,C,"219,670.00",,,,,,,,,,
hh0008,6/24/2024,D,"115,858.00",,,,,,,,,,
cf0003,6/23/2024,C,"61,231.00",,,,,,,,,,
fc0150,6/13/2024,C,"349,487.00",,,,,,,,,,
fd0046,6/21/2024,D,"49,445.00",,,,,,,,,,
da0108,6/14/2024,C,"193,350.00",,,,,,,,,,
ha0144,6/6/2024,C,"6,510.00",,,,,,,,,,
gc0159,6/5/2024,C,"254,426.00",,,,,,,,,,
dc0132,6/28/2024,C,"136,931.00",,,,,,,,,,
fd0118,6/25/2024,C,"9,073.00",,,,,,,,,,
ea0157,6/15/2024,C,"182,550.00",,,,,,,,,,
hf0048,6/13/2024,D,"176,442.00",,,,,,,,,,
hh0152,6/13/2024,D,"55,089.00",,,,,,,,,,
gg0079,6/13/2024,C,"183,420.00",,,,,,,,,,
bd0154,6/12/2024,C,"71,941.00",,,,,,,,,,
ba0162,6/14/2024,C,"137,950.00",,,,,,,,,,
eg0133,6/16/2024,C,"155,697.00",,,,,,,,,,
dg0052,6/8/2024,C,"185,091.00",,,,,,,,,,
gg0151,6/16/2024,D,"4,363.00",,,,,,,,,,
cf0147,6/5/2024,C,"198,781.00",,,,,,,,,,
da0004,6/8/2024,D,"103,097.00",,,,,,,,,,
cd0163,6/13/2024,D,"192,771.00",,,,,,,,,,
ad0145,6/11/2024,D,"11,435.00",,,,,,,,,,
ba0058,6/30/2024,C,"125,537.00",,,,,,,,,,
ee0173,6/8/2024,D,"5,270.00",,,,,,,,,,
bb0050,6/3/2024,D,"1,852.00",,,,,,,,,,
ca0171,6/23/2024,D,"110,751.00",,,,,,,,,,
ed0037,6/23/2024,C,"32,498.00",,,,,,,,,,
ag0169,6/22/2024,C,"14,686.00",,,,,,,,,,
he0128,6/4/2024,D,"76,397.00",,,,,,,,,,
da0148,6/6/2024,C,"8,336.00",,,,,,,,,,
ae0137,6/6/2024,C,"2,370.00",,,,,,,,,,
cg0115,6/5/2024,C,"14,466.00",,,,,,,,,,
dg0124,6/5/2024,D,"14,785.00",,,,,,,,,,
ga0031,6/25/2024,C,"19,460.00",,,,,,,,,,
