client_id,date,responsavel_id,AUC
ca0139,6/1/2024,0001DM,"R$ 380,357.00"
db0140,6/1/2024,0001LM,"R$ 485,644.00"
ec0141,6/1/2024,000000,"R$ 117,292.00"
fg0142,6/1/2024,000000,"R$ 161,218.00"
gh0143,6/1/2024,000000,"R$ 385,200.00"
ha0144,6/1/2024,000000,"R$ 581,816.00"
ad0145,6/1/2024,000000,"R$ 758,829.00"
be0146,6/1/2024,0001RP,"R$ 272,524.00"
cf0147,6/1/2024,0001JT,"R$ 868,227.00"
da0148,6/1/2024,000000,"R$ 888,519.00"
eb0149,6/1/2024,0001AG,"R$ 502,308.00"
fc0150,6/1/2024,000000,"R$ 904,942.00"
gg0151,6/1/2024,0001AG,"R$ 668,280.00"
hh0152,6/1/2024,000000,"R$ 662,280.00"
aa0153,6/1/2024,000000,"R$ 854,577.00"
bd0154,6/1/2024,0001LL,"R$ 699,911.00"
ce0155,6/1/2024,0001DM,"R$ 224,911.00"
df0156,6/1/2024,0001LL,"R$ 346,027.00"
ea0157,6/1/2024,000000,"R$ 778,138.00"
fb0158,6/1/2024,000000,"R$ 527,124.00"
gc0159,6/1/2024,000000,"R$ 834,989.00"
hg0160,6/1/2024,000000,"R$ 541,110.00"
ah0161,6/1/2024,000000,"R$ 793,184.00"
ba0162,6/1/2024,0001DM,"R$ 766,794.00"
cd0163,6/1/2024,0001TR,"R$ 889,971.00"
de0164,6/1/2024,0001JT,"R$ 663,920.00"
ef0165,6/1/2024,000000,"R$ 761,683.00"
fa0166,6/1/2024,000000,"R$ 361,350.00"
gb0167,6/1/2024,0001TR,"R$ 777,042.00"
hc0168,6/1/2024,000000,"R$ 754,647.00"
ag0169,6/1/2024,0001LL,"R$ 840,970.00"
bh0170,6/1/2024,0001LL,"R$ 62,235.00"
ca0171,6/1/2024,000000,"R$ 923,732.00"
dd0172,6/1/2024,000000,"R$ 200,025.00"
ee0173,6/1/2024,0001TR,"R$ 791,708.00"
ff0174,6/1/2024,0001LM,"R$ 17,324.00"
ga0175,6/1/2024,000000,"R$ 359,278.00"
hb0176,6/1/2024,000000,"R$ 745,288.00"
ac0177,6/1/2024,0001TR,"R$ 244,716.00"
bg0178,6/1/2024,0001TR,"R$ 109,467.00"
ch0179,6/1/2024,0001TR,"R$ 82,723.00"
da0180,6/1/2024,000000,"R$ 256,731.00"
ed0181,6/1/2024,000000,"R$ 925,496.00"
fe0182,6/1/2024,000000,"R$ 334,663.00"
gf0183,6/1/2024,0001TR,"R$ 550,988.00"
ha0184,6/1/2024,0001TR,"R$ 275,495.00"
ab0185,6/1/2024,0001DM,"R$ 955,368.00"
bc0186,6/1/2024,000000,"R$ 59,776.00"
cg0187,6/1/2024,0001LM,"R$ 883,005.00"
dh0188,6/1/2024,000000,"R$ 941,269.00"
ea0189,6/1/2024,0001JT,"R$ 207,458.00"
fd0190,6/1/2024,000000,"R$ 529,245.00"
ge0191,6/1/2024,0001RP,"R$ 266,052.00"
hf0192,6/1/2024,0001AG,"R$ 332,076.00"
aa0193,6/1/2024,000000,"R$ 937,621.00"
bb0194,6/1/2024,0001JT,"R$ 725,897.00"
cc0195,6/1/2024,0001DM,"R$ 268,377.00"
dg0196,6/1/2024,0001DM,"R$ 557,471.00"
eh0197,6/1/2024,0001LL,"R$ 441,144.00"
fa0198,6/1/2024,0001TR,"R$ 444,213.00"
gd0199,6/1/2024,000000,"R$ 682,582.00"
he0200,6/1/2024,000000,"R$ 262,116.00"
